team,titles,runner_up_finishes,final_appearances,years_won,years_runner_up,source_dataset,last_checked
Brazil,5,2,7,1958 | 1962 | 1970 | 1994 | 2002,1950 | 1998,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Germany,4,4,8,1954 | 1974 | 1990 | 2014,1966 | 1982 | 1986 | 2002,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Italy,4,2,6,1934 | 1938 | 1982 | 2006,1970 | 1994,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Argentina,3,4,7,1978 | 1986 | 2022,1930 | 1990 | 2014 | 2026,https://watchworldcup.us/world-cup-history/winners,2026-08-11
France,2,2,4,1998 | 2018,2006 | 2022,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Spain,2,0,2,2010 | 2026,,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Uruguay,2,0,2,1930 | 1950,,https://watchworldcup.us/world-cup-history/winners,2026-08-11
England,1,0,1,1966,,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Netherlands,0,3,3,,1974 | 1978 | 2010,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Czechoslovakia,0,2,2,,1934 | 1962,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Hungary,0,2,2,,1938 | 1954,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Croatia,0,1,1,,2018,https://watchworldcup.us/world-cup-history/winners,2026-08-11
Sweden,0,1,1,,1958,https://watchworldcup.us/world-cup-history/winners,2026-08-11
